"World Tourism Organization (2020), Compendium of Tourism Statistics dataset [Electronic], UNWTO, Madrid, data updated on 20/01/2020.",,,,,,,,,,,,,,,,,,,,,,,,,
Conceptual references and technical notes are available in the Methodological Notes to the Tourism Statistics Database:,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.unwto.org/method_notes_tourism_stat_database_2019ed,,,,,,,,,,,,,,,,,,,,,,,,,
Compendium of Tourism Statistics - Basic data and indicators,,,,,,,,,,,,,,,,,,,,,,,,,
Series 1.1: Inbound tourism - Arrivals of non-resident visitors (overnight visitors -tourists- and same-day visitors -excursionists-) at national borders - Thousands,,,,,,,,,,,,,,,,,,,,,,,,,
COD.,COUNTRY,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
535,Curaçao,396,387,422,437,433,514,519,545,508,452,510,572,664,773,808,762,837,908,"1,071","1,129","1,072",944,"1,058","1,210"
196,Cyprus,"2,253","2,089","2,194","2,357","2,578","2,912","2,841","2,495","2,416","2,478","2,657","2,629","2,671","2,631","2,370","2,450","2,626","2,635","2,626","2,558","2,780","3,286","3,750","4,024"
203,Czech Republic,..,..,..,..,..,..,..,..,"20,108","23,808","24,747","25,102","22,625","21,850","23,285","21,941","22,810","25,750","26,332","27,166","29,604","32,519","34,701",..
208,Denmark,..,..,..,..,..,..,..,..,"21,119","22,054","26,927","26,936","27,138","26,870","26,571","26,730","25,811","26,402","26,516","28,070","28,209","28,692","30,736","30,801"
262,Djibouti,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
212,Dominica,203,261,299,312,280,312,276,208,254,466,381,465,437,468,608,595,418,348,311,370,358,356,230,198
214,Dominican Republic,"1,806","2,037","2,482","2,702","2,932","3,161","3,090","3,058","3,680","3,907","3,981","4,268","4,365","4,455","4,489","4,478","4,654","4,901","5,114","5,576","6,129","6,769","7,296","7,576"
218,Ecuador,440,494,529,511,518,627,641,683,761,819,860,841,937,"1,005",968,"1,047","1,141","1,272","1,364","1,695","1,676","1,569","1,806","2,535"
818,Egypt,"3,133","3,896","3,961","3,454","4,797","5,506","4,648","5,192","6,044","8,104","8,608","9,083","11,091","12,835","12,536","14,731","9,845","11,532","9,464","9,878","9,328","5,399","8,292","11,346"
222,El Salvador,..,..,..,..,..,867,804,885,798,"1,030","1,306","1,501","1,720","1,875","1,482","1,606","1,634","1,738","1,822","1,886","1,973","2,052","2,247","2,536"
226,Equatorial Guinea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
232,Eritrea,315,417,410,188,57,70,113,101,80,87,83,78,81,70,79,84,107,129,141,119,114,142,..,..
233,Estonia,"2,111","2,444","2,618","2,909","3,181","3,310","3,230","3,253","3,378",..,..,..,..,"3,828","3,834","4,369","4,907","5,007","5,737","5,804","5,696","5,942","6,145","6,071"
748,Eswatini,..,"1,337","1,635",986,"1,253","1,151","1,312","1,371","1,543",..,"1,182","1,200","1,230","1,186","1,344","1,343","1,328","1,278","1,299","1,325","1,256","1,279","1,343","1,277"
230,Ethiopia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
242,Fiji,476,534,547,499,544,434,446,461,451,513,547,..,542,627,605,692,734,741,769,781,869,963,"1,027","1,058"
246,Finland,..,..,..,"3,432","3,363","3,789","4,252","4,687","4,527","4,854","5,038","5,345","5,736","6,072","5,695","6,182","7,260","7,636",..,..,..,..,..,..
